inventory_id,date,used,wasted
4,2026-09-03,119.14,2.38
4,2026-09-04,129.26,2.59
4,2026-09-05,162.34,3.25
4,2026-09-06,156.58,3.13
4,2026-09-07,160.2,3.2
4,2026-09-08,162.34,3.25
4,2026-09-09,123.76,2.48
4,2026-09-10,125.97,2.52
4,2026-09-11,117.76,2.36
4,2026-09-12,155.69,3.11
4,2026-09-13,161.51,3.23
4,2026-09-14,134.76,2.7
4,2026-09-15,146.76,2.94
4,2026-09-16,120.65,2.41
4,2026-09-17,164.07,3.28
5,2026-08-14,15.23,0.3
5,2026-08-15,14.15,0.28
5,2026-08-16,14.89,0.3
5,2026-08-17,17.67,0.35
5,2026-08-18,15.23,0.3
5,2026-08-19,17.61,0.35
5,2026-08-20,18.12,0.36
5,2026-08-21,14.41,0.29
5,2026-08-22,13.32,0.27
5,2026-08-23,12.92,0.26
5,2026-08-24,16.25,0.33
5,2026-08-25,19.2,0.38
5,2026-08-26,15.04,0.3
5,2026-08-27,16.96,0.34
5,2026-08-28,17.8,0.36
5,2026-08-29,16.97,0.34
5,2026-08-30,17.63,0.35
5,2026-08-31,18.88,0.38
5,2026-09-01,14.08,0.28
5,2026-09-02,12.93,0.26
5,2026-09-03,13.78,0.28
5,2026-09-04,13.61,0.27
5,2026-09-05,17.08,0.34
5,2026-09-06,16.41,0.33
5,2026-09-07,14.19,0.28
5,2026-09-08,17.28,0.35
5,2026-09-09,17.71,0.35
5,2026-09-10,13.87,0.28
5,2026-09-11,16.69,0.33
5,2026-09-12,17.59,0.35
5,2026-09-13,13.53,0.27
5,2026-09-14,18.04,0.36
5,2026-09-15,18.97,0.38
5,2026-09-16,13.49,0.27
5,2026-09-17,12.96,0.26
6,2026-08-14,22.19,0.44
6,2026-08-15,25.7,0.51
6,2026-08-16,28.4,0.57
6,2026-08-17,23.01,0.46
6,2026-08-18,26.06,0.52
6,2026-08-19,19.93,0.4
6,2026-08-20,25.83,0.52
6,2026-08-21,25.22,0.5
6,2026-08-22,20.18,0.4
6,2026-08-23,26.62,0.53
6,2026-08-24,27.36,0.55
6,2026-08-25,24.96,0.5
6,2026-08-26,20.36,0.41
6,2026-08-27,28.64,0.57
6,2026-08-28,26.71,0.53
6,2026-08-29,22.53,0.45
6,2026-08-30,23.31,0.47
6,2026-08-31,22.76,0.46
6,2026-09-01,24.06,0.48
6,2026-09-02,22.48,0.45
6,2026-09-03,27.36,0.55
6,2026-09-04,27.09,0.54
6,2026-09-05,20.21,0.4
6,2026-09-06,28.42,0.57
6,2026-09-07,25.3,0.51
6,2026-09-08,27.16,0.54
6,2026-09-09,25.99,0.52
6,2026-09-10,23.38,0.47
6,2026-09-11,26.24,0.52
6,2026-09-12,28.47,0.57
6,2026-09-13,21.79,0.44
6,2026-09-14,26.96,0.54
6,2026-09-15,24.37,0.49
6,2026-09-16,23.84,0.48
6,2026-09-17,23.38,0.47
7,2026-08-14,8.74,0.17
7,2026-08-15,7.26,0.15
7,2026-08-16,9.13,0.18
7,2026-08-17,9.06,0.18
7,2026-08-18,6.68,0.13
7,2026-08-19,9.22,0.18
7,2026-08-20,7.18,0.14
7,2026-08-21,7.89,0.16
7,2026-08-22,8.35,0.17
7,2026-08-23,7.61,0.15
7,2026-08-24,6.49,0.13
7,2026-08-25,9.12,0.18
7,2026-08-26,6.98,0.14
7,2026-08-27,7.08,0.14
7,2026-08-28,8.95,0.18
7,2026-08-29,7.49,0.15
7,2026-08-30,9.22,0.18
7,2026-08-31,8.64,0.17
7,2026-09-01,7.28,0.15
7,2026-09-02,6.43,0.13
7,2026-09-03,9.43,0.19
7,2026-09-04,6.67,0.13
7,2026-09-05,8.7,0.17
7,2026-09-06,7.96,0.16
7,2026-09-07,8.83,0.18
7,2026-09-08,8.61,0.17
7,2026-09-09,8.47,0.17
7,2026-09-10,7.97,0.16
7,2026-09-11,8.94,0.18
7,2026-09-12,6.7,0.13
7,2026-09-13,7.11,0.14
7,2026-09-14,8.61,0.17
7,2026-09-15,7.38,0.15
7,2026-09-16,8.26,0.17
7,2026-09-17,7.91,0.16
8,2026-08-14,141.73,2.83
8,2026-08-15,135.83,2.72
8,2026-08-16,153.77,3.08
8,2026-08-17,130.52,2.61
8,2026-08-18,151.36,3.03
8,2026-08-19,127.17,2.54
8,2026-08-20,126.08,2.52
8,2026-08-21,118.76,2.38
8,2026-08-22,122.78,2.46
8,2026-08-23,118.7,2.37
8,2026-08-24,142.01,2.84
8,2026-08-25,154.68,3.09
8,2026-08-26,122.37,2.45
8,2026-08-27,124.12,2.48
8,2026-08-28,139.12,2.78
8,2026-08-29,152.58,3.05
8,2026-08-30,166.69,3.33
8,2026-08-31,141.38,2.83
8,2026-09-01,127.85,2.56
8,2026-09-02,117.63,2.35
8,2026-09-03,122.87,2.46
8,2026-09-04,124.74,2.49
8,2026-09-05,122.05,2.44
8,2026-09-06,112.79,2.26
8,2026-09-07,141.91,2.84
8,2026-09-08,127.36,2.55
8,2026-09-09,166.56,3.33
8,2026-09-10,142.99,2.86
8,2026-09-11,151.06,3.02
8,2026-09-12,119.07,2.38
8,2026-09-13,160.63,3.21
8,2026-09-14,139.49,2.79
8,2026-09-15,160.87,3.22
8,2026-09-16,144.15,2.88
8,2026-09-17,138.29,2.77
9,2026-08-14,15.42,0.31
9,2026-08-15,16.99,0.34
9,2026-08-16,13.79,0.28
9,2026-08-17,15.8,0.32
9,2026-08-18,19.0,0.38
9,2026-08-19,14.97,0.3
9,2026-08-20,17.23,0.34
9,2026-08-21,16.96,0.34
9,2026-08-22,18.25,0.36
9,2026-08-23,18.25,0.36
9,2026-08-24,18.3,0.37
9,2026-08-25,15.23,0.3
9,2026-08-26,14.83,0.3
9,2026-08-27,17.4,0.35
9,2026-08-28,17.66,0.35
9,2026-08-29,18.38,0.37
9,2026-08-30,13.03,0.26
9,2026-08-31,13.24,0.26
9,2026-09-01,16.84,0.34
9,2026-09-02,18.69,0.37
9,2026-09-03,19.18,0.38
9,2026-09-04,17.58,0.35
9,2026-09-05,15.58,0.31
9,2026-09-06,13.43,0.27
9,2026-09-07,16.86,0.34
9,2026-09-08,18.38,0.37
9,2026-09-09,15.64,0.31
9,2026-09-10,17.24,0.34
9,2026-09-11,18.58,0.37
9,2026-09-12,13.09,0.26
9,2026-09-13,17.9,0.36
9,2026-09-14,14.68,0.29
9,2026-09-15,15.2,0.3
9,2026-09-16,13.73,0.27
9,2026-09-17,16.2,0.32
10,2026-08-14,24.63,0.49
10,2026-08-15,26.81,0.54
10,2026-08-16,20.83,0.42
10,2026-08-17,19.96,0.4
10,2026-08-18,27.56,0.55
10,2026-08-19,25.15,0.5
10,2026-08-20,21.51,0.43
10,2026-08-21,27.96,0.56
10,2026-08-22,20.57,0.41
10,2026-08-23,23.63,0.47
10,2026-08-24,21.64,0.43
10,2026-08-25,21.65,0.43
10,2026-08-26,19.29,0.39
10,2026-08-27,26.92,0.54
10,2026-08-28,27.85,0.56
10,2026-08-29,25.71,0.51
10,2026-08-30,20.72,0.41
10,2026-08-31,23.44,0.47
10,2026-09-01,22.52,0.45
10,2026-09-02,24.84,0.5
10,2026-09-03,25.33,0.51
10,2026-09-04,23.27,0.47
10,2026-09-05,21.6,0.43
10,2026-09-06,27.31,0.55
10,2026-09-07,21.11,0.42
10,2026-09-08,22.89,0.46
10,2026-09-09,23.84,0.48
10,2026-09-10,21.48,0.43
10,2026-09-11,24.69,0.49
10,2026-09-12,24.72,0.49
10,2026-09-13,28.73,0.57
10,2026-09-14,22.03,0.44
10,2026-09-15,28.59,0.57
10,2026-09-16,25.52,0.51
10,2026-09-17,21.84,0.44
11,2026-08-14,8.21,0.16
11,2026-08-15,8.59,0.17
11,2026-08-16,8.78,0.18
11,2026-08-17,6.56,0.13
11,2026-08-18,8.34,0.17
11,2026-08-19,7.99,0.16
11,2026-08-20,9.29,0.19
11,2026-08-21,7.32,0.15
11,2026-08-22,8.96,0.18
11,2026-08-23,8.34,0.17
11,2026-08-24,7.53,0.15
11,2026-08-25,8.44,0.17
11,2026-08-26,8.39,0.17
11,2026-08-27,8.57,0.17
11,2026-08-28,8.71,0.17
11,2026-08-29,8.51,0.17
11,2026-08-30,9.08,0.18
11,2026-08-31,8.41,0.17
11,2026-09-01,9.29,0.19
11,2026-09-02,8.47,0.17
11,2026-09-03,7.39,0.15
11,2026-09-04,7.81,0.16
11,2026-09-05,8.25,0.17
11,2026-09-06,8.74,0.17
11,2026-09-07,6.69,0.13
11,2026-09-08,7.34,0.15
11,2026-09-09,8.79,0.18
11,2026-09-10,6.96,0.14
11,2026-09-11,6.82,0.14
11,2026-09-12,8.13,0.16
11,2026-09-13,9.51,0.19
11,2026-09-14,8.1,0.16
11,2026-09-15,9.32,0.19
11,2026-09-16,9.06,0.18
11,2026-09-17,7.22,0.14
12,2026-08-14,158.18,3.16
12,2026-08-15,138.98,2.78
12,2026-08-16,157.16,3.14
12,2026-08-17,153.81,3.08
12,2026-08-18,130.97,2.62
12,2026-08-19,118.45,2.37
12,2026-08-20,165.92,3.32
12,2026-08-21,119.88,2.4
12,2026-08-22,166.12,3.32
12,2026-08-23,160.17,3.2
12,2026-08-24,152.56,3.05
12,2026-08-25,166.88,3.34
12,2026-08-26,166.17,3.32
12,2026-08-27,157.06,3.14
12,2026-08-28,132.48,2.65
12,2026-08-29,156.28,3.13
12,2026-08-30,112.78,2.26
12,2026-08-31,142.05,2.84
12,2026-09-01,137.47,2.75
12,2026-09-02,149.68,2.99
12,2026-09-03,149.65,2.99
12,2026-09-04,144.74,2.89
12,2026-09-05,158.06,3.16
12,2026-09-06,164.66,3.29
12,2026-09-07,118.07,2.36
12,2026-09-08,125.09,2.5
12,2026-09-09,113.4,2.27
12,2026-09-10,161.52,3.23
12,2026-09-11,143.44,2.87
12,2026-09-12,163.25,3.27
12,2026-09-13,124.4,2.49
12,2026-09-14,115.54,2.31
12,2026-09-15,158.14,3.16
12,2026-09-16,162.93,3.26
12,2026-09-17,128.92,2.58
13,2026-08-14,15.55,0.31
13,2026-08-15,14.61,0.29
13,2026-08-16,17.14,0.34
13,2026-08-17,15.91,0.32
13,2026-08-18,17.07,0.34
13,2026-08-19,13.09,0.26
13,2026-08-20,15.33,0.31
13,2026-08-21,16.64,0.33
13,2026-08-22,12.85,0.26
13,2026-08-23,14.73,0.29
13,2026-08-24,14.15,0.28
13,2026-08-25,13.68,0.27
13,2026-08-26,14.44,0.29
13,2026-08-27,14.9,0.3
13,2026-08-28,12.85,0.26
13,2026-08-29,17.58,0.35
13,2026-08-30,13.92,0.28
13,2026-08-31,15.23,0.3
13,2026-09-01,17.3,0.35
13,2026-09-02,16.0,0.32
13,2026-09-03,18.13,0.36
13,2026-09-04,17.96,0.36
13,2026-09-05,13.26,0.27
13,2026-09-06,18.32,0.37
13,2026-09-07,13.07,0.26
13,2026-09-08,12.92,0.26
13,2026-09-09,18.7,0.37
13,2026-09-10,18.32,0.37
13,2026-09-11,16.48,0.33
13,2026-09-12,16.47,0.33
13,2026-09-13,17.34,0.35
13,2026-09-14,15.47,0.31
13,2026-09-15,13.54,0.27
13,2026-09-16,12.93,0.26
13,2026-09-17,14.88,0.3
14,2026-08-14,26.89,0.54
14,2026-08-15,25.13,0.5
14,2026-08-16,27.19,0.54
14,2026-08-17,28.03,0.56
14,2026-08-18,20.05,0.4
14,2026-08-19,27.31,0.55
14,2026-08-20,21.54,0.43
14,2026-08-21,24.85,0.5
14,2026-08-22,24.23,0.48
14,2026-08-23,23.0,0.46
14,2026-08-24,22.18,0.44
14,2026-08-25,22.46,0.45
14,2026-08-26,22.4,0.45
14,2026-08-27,20.81,0.42
14,2026-08-28,24.1,0.48
14,2026-08-29,20.29,0.41
14,2026-08-30,24.1,0.48
14,2026-08-31,27.9,0.56
14,2026-09-01,22.55,0.45
14,2026-09-02,26.18,0.52
14,2026-09-03,27.06,0.54
14,2026-09-04,27.02,0.54
14,2026-09-05,21.47,0.43
14,2026-09-06,20.61,0.41
14,2026-09-07,21.09,0.42
14,2026-09-08,24.98,0.5
14,2026-09-09,26.5,0.53
14,2026-09-10,25.49,0.51
14,2026-09-11,20.9,0.42
14,2026-09-12,26.62,0.53
14,2026-09-13,23.94,0.48
14,2026-09-14,26.44,0.53
14,2026-09-15,26.49,0.53
14,2026-09-16,23.51,0.47
14,2026-09-17,28.07,0.56
15,2026-08-14,8.21,0.16
15,2026-08-15,8.43,0.17
15,2026-08-16,8.4,0.17
15,2026-08-17,9.17,0.18
15,2026-08-18,8.41,0.17
15,2026-08-19,6.88,0.14
15,2026-08-20,6.62,0.13
15,2026-08-21,7.82,0.16
15,2026-08-22,7.37,0.15
15,2026-08-23,7.28,0.15
15,2026-08-24,6.58,0.13
15,2026-08-25,8.02,0.16
15,2026-08-26,7.39,0.15
15,2026-08-27,7.85,0.16
15,2026-08-28,6.58,0.13
15,2026-08-29,9.06,0.18
15,2026-08-30,6.65,0.13
15,2026-08-31,9.17,0.18
15,2026-09-01,9.14,0.18
15,2026-09-02,8.37,0.17
15,2026-09-03,8.02,0.16
15,2026-09-04,7.88,0.16
15,2026-09-05,8.17,0.16
15,2026-09-06,8.93,0.18
15,2026-09-07,9.27,0.19
15,2026-09-08,7.84,0.16
15,2026-09-09,8.99,0.18
15,2026-09-10,8.49,0.17
15,2026-09-11,7.43,0.15
15,2026-09-12,7.92,0.16
15,2026-09-13,6.88,0.14
15,2026-09-14,6.6,0.13
15,2026-09-15,6.73,0.13
15,2026-09-16,9.28,0.19
15,2026-09-17,7.5,0.15
16,2026-08-14,152.0,3.04
16,2026-08-15,140.25,2.81
16,2026-08-16,121.66,2.43
16,2026-08-17,125.87,2.52
16,2026-08-18,136.51,2.73
16,2026-08-19,136.61,2.73
16,2026-08-20,141.27,2.83
16,2026-08-21,120.89,2.42
16,2026-08-22,132.88,2.66
16,2026-08-23,127.84,2.56
16,2026-08-24,134.89,2.7
16,2026-08-25,130.95,2.62
16,2026-08-26,145.48,2.91
16,2026-08-27,156.2,3.12
16,2026-08-28,148.25,2.96
16,2026-08-29,115.69,2.31
16,2026-08-30,117.29,2.35
16,2026-08-31,149.99,3.0
16,2026-09-01,127.91,2.56
16,2026-09-02,152.53,3.05
16,2026-09-03,148.77,2.98
16,2026-09-04,162.76,3.26
16,2026-09-05,160.9,3.22
16,2026-09-06,130.67,2.61
16,2026-09-07,144.63,2.89
16,2026-09-08,119.92,2.4
16,2026-09-09,131.59,2.63
16,2026-09-10,166.19,3.32
16,2026-09-11,151.11,3.02
16,2026-09-12,133.95,2.68
16,2026-09-13,145.32,2.91
16,2026-09-14,164.53,3.29
16,2026-09-15,129.34,2.59
16,2026-09-16,133.09,2.66
16,2026-09-17,156.33,3.13
17,2026-08-14,17.45,2.62
17,2026-08-15,18.63,2.79
17,2026-08-16,16.74,2.51
17,2026-08-17,15.58,2.34
17,2026-08-18,16.89,2.53
17,2026-08-19,17.87,2.68
17,2026-08-20,13.17,1.98
17,2026-08-21,17.1,2.56
17,2026-08-22,15.4,2.31
17,2026-08-23,16.08,2.41
17,2026-08-24,17.6,2.64
17,2026-08-25,13.82,2.07
17,2026-08-26,13.0,1.95
17,2026-08-27,18.23,2.73
17,2026-08-28,17.14,2.57
17,2026-08-29,15.6,2.34
17,2026-08-30,13.61,2.04
17,2026-08-31,14.31,2.15
17,2026-09-01,16.93,2.54
17,2026-09-02,15.12,2.27
17,2026-09-03,18.88,2.83
17,2026-09-04,13.01,1.95
17,2026-09-05,13.78,2.07
17,2026-09-06,15.68,2.35
17,2026-09-07,15.17,2.28
17,2026-09-08,15.64,2.35
17,2026-09-09,13.29,1.99
17,2026-09-10,13.68,2.05
17,2026-09-11,15.15,2.27
17,2026-09-12,14.81,2.22
17,2026-09-13,14.58,2.19
17,2026-09-14,18.95,2.84
17,2026-09-15,12.97,1.95
17,2026-09-16,13.99,2.1
17,2026-09-17,16.11,2.42
18,2026-08-14,27.97,4.2
18,2026-08-15,20.33,3.05
18,2026-08-16,26.64,4.0
18,2026-08-17,25.96,3.89
18,2026-08-18,21.26,3.19
18,2026-08-19,25.07,3.76
18,2026-08-20,25.86,3.88
18,2026-08-21,28.79,4.32
18,2026-08-22,21.12,3.17
18,2026-08-23,20.5,3.07
18,2026-08-24,19.91,2.99
18,2026-08-25,20.86,3.13
18,2026-08-26,26.05,3.91
18,2026-08-27,28.77,4.32
18,2026-08-28,26.98,4.05
18,2026-08-29,28.49,4.27
18,2026-08-30,28.67,4.3
18,2026-08-31,25.61,3.84
18,2026-09-01,26.01,3.9
18,2026-09-02,24.48,3.67
18,2026-09-03,21.99,3.3
18,2026-09-04,22.08,3.31
18,2026-09-05,20.71,3.11
18,2026-09-06,26.01,3.9
18,2026-09-07,25.92,3.89
18,2026-09-08,20.87,3.13
18,2026-09-09,22.67,3.4
18,2026-09-10,21.35,3.2
18,2026-09-11,28.66,4.3
18,2026-09-12,26.8,4.02
18,2026-09-13,21.47,3.22
18,2026-09-14,23.94,3.59
18,2026-09-15,22.66,3.4
18,2026-09-16,24.69,3.7
18,2026-09-17,23.69,3.55
19,2026-08-14,9.55,1.43
19,2026-08-15,6.82,1.02
19,2026-08-16,9.23,1.38
19,2026-08-17,6.61,0.99
19,2026-08-18,7.67,1.15
19,2026-08-19,8.69,1.3
19,2026-08-20,7.93,1.19
19,2026-08-21,7.71,1.16
19,2026-08-22,7.71,1.16
19,2026-08-23,8.24,1.24
19,2026-08-24,6.8,1.02
19,2026-08-25,7.41,1.11
19,2026-08-26,6.64,1.0
19,2026-08-27,7.89,1.18
19,2026-08-28,8.06,1.21
19,2026-08-29,6.81,1.02
19,2026-08-30,9.05,1.36
19,2026-08-31,8.16,1.22
19,2026-09-01,8.28,1.24
19,2026-09-02,8.86,1.33
19,2026-09-03,6.81,1.02
19,2026-09-04,8.01,1.2
19,2026-09-05,9.18,1.38
19,2026-09-06,9.06,1.36
19,2026-09-07,8.06,1.21
19,2026-09-08,7.37,1.11
19,2026-09-09,6.92,1.04
19,2026-09-10,9.39,1.41
19,2026-09-11,7.12,1.07
19,2026-09-12,9.43,1.41
19,2026-09-13,8.06,1.21
19,2026-09-14,7.31,1.1
19,2026-09-15,6.65,1.0
19,2026-09-16,7.03,1.05
19,2026-09-17,9.46,1.42
20,2026-08-14,127.37,19.11
20,2026-08-15,147.0,22.05
20,2026-08-16,146.41,21.96
20,2026-08-17,117.23,17.58
20,2026-08-18,147.9,22.18
20,2026-08-19,145.14,21.77
20,2026-08-20,144.52,21.68
20,2026-08-21,121.59,18.24
20,2026-08-22,146.97,22.05
20,2026-08-23,162.51,24.38
20,2026-08-24,130.91,19.64
20,2026-08-25,163.74,24.56
20,2026-08-26,114.31,17.15
20,2026-08-27,160.37,24.06
20,2026-08-28,116.55,17.48
20,2026-08-29,165.12,24.77
20,2026-08-30,155.18,23.28
20,2026-08-31,126.82,19.02
20,2026-09-01,123.81,18.57
20,2026-09-02,144.04,21.61
20,2026-09-03,146.61,21.99
20,2026-09-04,113.7,17.05
20,2026-09-05,161.78,24.27
20,2026-09-06,142.55,21.38
20,2026-09-07,147.95,22.19
20,2026-09-08,128.92,19.34
20,2026-09-09,125.71,18.86
20,2026-09-10,157.21,23.58
20,2026-09-11,134.74,20.21
20,2026-09-12,137.4,20.61
20,2026-09-13,150.56,22.58
20,2026-09-14,120.85,18.13
20,2026-09-15,135.27,20.29
20,2026-09-16,138.01,20.7
20,2026-09-17,131.05,19.66
21,2026-08-14,14.63,0.29
21,2026-08-15,13.18,0.26
21,2026-08-16,17.72,0.35
21,2026-08-17,16.97,0.34
21,2026-08-18,14.29,0.29
21,2026-08-19,17.53,0.35
21,2026-08-20,18.24,0.36
21,2026-08-21,13.04,0.26
21,2026-08-22,18.7,0.37
21,2026-08-23,15.47,0.31
21,2026-08-24,18.16,0.36
21,2026-08-25,18.78,0.38
21,2026-08-26,13.03,0.26
21,2026-08-27,18.15,0.36
21,2026-08-28,17.84,0.36
21,2026-08-29,13.99,0.28
21,2026-08-30,17.59,0.35
21,2026-08-31,18.38,0.37
21,2026-09-01,14.65,0.29
21,2026-09-02,13.04,0.26
21,2026-09-03,14.71,0.29
21,2026-09-04,16.66,0.33
21,2026-09-05,18.74,0.37
21,2026-09-06,14.94,0.3
21,2026-09-07,15.71,0.31
21,2026-09-08,16.9,0.34
21,2026-09-09,16.16,0.32
21,2026-09-10,18.49,0.37
21,2026-09-11,13.66,0.27
21,2026-09-12,16.03,0.32
21,2026-09-13,14.55,0.29
21,2026-09-14,17.98,0.36
21,2026-09-15,14.92,0.3
21,2026-09-16,17.48,0.35
21,2026-09-17,16.95,0.34
22,2026-08-14,26.1,0.52
22,2026-08-15,19.34,0.39
22,2026-08-16,22.44,0.45
22,2026-08-17,22.03,0.44
22,2026-08-18,25.67,0.51
22,2026-08-19,21.05,0.42
22,2026-08-20,25.07,0.5
22,2026-08-21,25.33,0.51
22,2026-08-22,23.09,0.46
22,2026-08-23,23.31,0.47
22,2026-08-24,22.35,0.45
22,2026-08-25,23.05,0.46
22,2026-08-26,20.12,0.4
22,2026-08-27,28.62,0.57
22,2026-08-28,23.78,0.48
22,2026-08-29,28.18,0.56
22,2026-08-30,19.27,0.39
22,2026-08-31,22.88,0.46
22,2026-09-01,23.49,0.47
22,2026-09-02,21.76,0.44
22,2026-09-03,22.36,0.45
22,2026-09-04,24.79,0.5
22,2026-09-05,24.7,0.49
22,2026-09-06,21.71,0.43
22,2026-09-07,22.65,0.45
22,2026-09-08,21.47,0.43
22,2026-09-09,25.61,0.51
22,2026-09-10,23.67,0.47
22,2026-09-11,20.73,0.41
22,2026-09-12,25.79,0.52
22,2026-09-13,28.06,0.56
22,2026-09-14,27.72,0.55
22,2026-09-15,26.59,0.53
22,2026-09-16,25.83,0.52
22,2026-09-17,25.33,0.51
23,2026-08-14,9.41,0.19
23,2026-08-15,7.58,0.15
23,2026-08-16,7.11,0.14
23,2026-08-17,9.46,0.19
23,2026-08-18,7.93,0.16
23,2026-08-19,7.86,0.16
23,2026-08-20,9.56,0.19
23,2026-08-21,7.6,0.15
23,2026-08-22,8.65,0.17
23,2026-08-23,9.32,0.19
23,2026-08-24,8.82,0.18
23,2026-08-25,8.97,0.18
23,2026-08-26,9.04,0.18
23,2026-08-27,8.84,0.18
23,2026-08-28,8.58,0.17
23,2026-08-29,8.31,0.17
23,2026-08-30,8.92,0.18
23,2026-08-31,8.08,0.16
23,2026-09-01,8.09,0.16
23,2026-09-02,7.56,0.15
23,2026-09-03,9.34,0.19
23,2026-09-04,6.76,0.14
23,2026-09-05,9.05,0.18
23,2026-09-06,9.29,0.19
23,2026-09-07,7.05,0.14
23,2026-09-08,8.12,0.16
23,2026-09-09,6.93,0.14
23,2026-09-10,9.13,0.18
23,2026-09-11,7.81,0.16
23,2026-09-12,8.58,0.17
23,2026-09-13,8.69,0.17
23,2026-09-14,7.96,0.16
23,2026-09-15,9.28,0.19
23,2026-09-16,7.83,0.16
23,2026-09-17,6.58,0.13
24,2026-08-14,119.39,2.39
24,2026-08-15,135.26,2.71
24,2026-08-16,143.58,2.87
24,2026-08-17,143.29,2.87
24,2026-08-18,149.67,2.99
24,2026-08-19,129.26,2.59
24,2026-08-20,113.22,2.26
24,2026-08-21,126.25,2.52
24,2026-08-22,112.17,2.24
24,2026-08-23,124.2,2.48
24,2026-08-24,116.09,2.32
24,2026-08-25,135.73,2.71
24,2026-08-26,151.22,3.02
24,2026-08-27,142.31,2.85
24,2026-08-28,115.37,2.31
24,2026-08-29,162.08,3.24
